ID,Age,Gender,Caregiver,Item,Utterances_C,MLU_C,Utterances_M,MLU_M,Token_C,TTR_C,VocD_C,Token_M,TTR_M,VocD_M,Turn,Nodes,Density,Clustering,Length
P45,42,F,MOT,Meerkat,40,3.225,100,4.79,121,0.421488,21.46,453,0.306843,51.81,113,24,0.05434782608695650,0.3194444444444450,1.3333333333333300
P45,42,F,MOT,Starfish,57,3.368,95,5.663,195,0.307692,18.19,506,0.266798,39.49,178,31,0.07956989247311830,0.3605104572846510,2.128654970760230
P48,66,F,MOT,Car,28,4.679,59,3.746,128,0.492188,40.74,217,0.428571,41.65,118,28,0.05291005291005290,0.20357142857142900,2.712121212121210
P48,66,F,MOT,ComputerBox,21,4.238,44,4.205,100,0.43,24.71,183,0.36612,27.66,93,17,0.08823529411764710,0.3431372549019610,1.7
P48,66,F,MOT,Degu,24,3.375,80,4.45,78,0.589744,35.66,341,0.354839,41.07,69,21,0.07142857142857140,0.29365079365079400,1.7333333333333300
P48,66,F,MOT,Robodog,33,4,53,4.34,125,0.48,42.69,218,0.385321,36.98,121,113,0.02101769911504430,0.36000896841604800,3.2274436090225600
P48,66,F,MOT,Meerkat,30,3.633,82,4.256,108,0.546296,38.24,357,0.344538,42.95,96,31,0.043010752688172000,0.47311827956989200,1.3333333333333300
P48,66,F,MOT,Starfish,48,3.896,90,5.133,200,0.36,26,441,0.247166,26.97,188,32,0.056451612903225800,0.272172619047619,2.411764705882350
P49,66,F,MOT,Car,37,5.108,38,6.921,207,0.449275,51.78,279,0.408602,50.9,194,41,0.05975609756097560,0.433701122725513,2.601731601731600
P49,66,F,MOT,ComputerBox,18,5.167,34,6.412,96,0.520833,37.83,244,0.311475,32.34,92,25,0.08333333333333330,0.5253333333333330,1.7142857142857100
P49,66,F,MOT,Degu,39,5.359,47,7.298,239,0.410042,44.96,355,0.338028,50.67,232,45,0.031313131313131300,0.42148148148148100,2.088888888888890
P49,66,F,MOT,Robodog,22,4.773,45,6.111,122,0.467213,34.36,278,0.341727,40.93,114,168,0.02587681779298550,0.46085259779698100,3.333733133433280
P49,66,F,MOT,Meerkat,38,5.237,47,4.894,263,0.353612,31.94,243,0.399177,43.63,240,45,0.10404040404040400,0.5106411453470280,2.7903225806451600
P49,66,F,MOT,Starfish,51,5.451,54,4.759,322,0.425466,65.66,251,0.398406,45.92,308,68,0.05926251097453910,0.6161796128707890,2.335632183908050
P50,66,F,MOT,Car,60,4.417,85,5.176,261,0.440613,56.39,445,0.310112,38.24,245,59,0.046756282875511400,0.5327973344922500,2.7066666666666700
P50,66,F,MOT,ComputerBox,28,4.786,61,6.098,138,0.442029,26.58,356,0.294944,28.88,131,29,0.07389162561576360,0.6,1.4285714285714300
P50,66,F,MOT,Degu,53,3.943,85,5.518,221,0.443439,45.4,459,0.287582,37.18,208,57,0.03258145363408520,0.45497076023391800,2.91025641025641
P50,66,F,MOT,Robodog,38,3.842,57,4.982,153,0.431373,34.98,279,0.369176,32.77,141,193,0.015382124352331600,0.3985244309688080,3.8946564885496200
P50,66,F,MOT,Meerkat,63,4.968,98,4.367,319,0.354232,45.83,420,0.3,34.21,296,56,0.044805194805194800,0.45590986394557800,2.786764705882350
P50,66,F,MOT,Starfish,59,4.186,79,5.911,237,0.405063,39.09,441,0.29932,32.97,222,42,0.03484320557491290,0.17244897959183700,2.4380952380952400
P51,66,F,MOT,Car,48,3.938,75,5.293,195,0.502564,66.3,394,0.362944,59.18,181,50,0.044897959183673500,0.4694285714285710,1.6388888888888900
P51,66,F,MOT,ComputerBox,31,4.323,47,6.511,148,0.466216,40.65,303,0.306931,30.39,140,24,0.057971014492753600,0.2569444444444450,1.5
P51,66,F,MOT,Degu,54,3.259,86,6.186,178,0.55618,76.14,515,0.297087,48.35,170,47,0.01572617946345980,0.06382978723404260,1.6
P51,66,F,MOT,Robodog,27,2.519,41,4.512,97,0.494845,33.5,228,0.359649,30.53,89,176,0.011623376623376600,0.29955949149632300,4.0900483904902200
P51,66,F,MOT,Meerkat,55,3.273,74,6.041,177,0.463277,41.81,435,0.314943,37.11,172,47,0.028677150786309000,0.31347517730496500,1.619047619047620
P51,66,F,MOT,Starfish,48,3.854,61,6.787,183,0.42623,28.46,422,0.317536,29.59,169,40,0.05512820512820510,0.5308333333333330,3.0760233918128700
P52,66,F,MOT,Car,68,4.441,65,3.385,330,0.342424,44.03,214,0.392523,38.03,304,55,0.04579124579124580,0.472063492063492,3.903903903903900
P52,66,F,MOT,ComputerBox,27,2.259,22,5.455,59,0.491525,15.23,125,0.488,32.19,56,15,0.06666666666666670,0.14444444444444400,1.5
P52,66,F,MOT,Degu,60,3.55,70,5.886,209,0.425837,38.11,390,0.338462,38.96,195,46,0.04057971014492750,0.4762422360248450,2.676190476190480
P52,66,F,MOT,Robodog,23,2.913,35,5.2,71,0.577465,37.93,225,0.4,33.04,67,161,0.017391304347826100,0.4093180868700720,3.554628857381150
P52,66,F,MOT,Meerkat,58,4.828,73,4.493,263,0.380228,41.8,329,0.343465,44.21,243,45,0.048484848484848500,0.38209876543209900,2.965811965811970
